MES	PRODUCTO	CLIENTE	VENDEDOR_CODIGO	DSTO	COSTO	PRECIO	CANTIDAD	COSTO TOTAL	VENTA TOTAL	GANANCIA BRUTA	VENTAS RELATIVAS BRUTAS	DSCTO TOTAL	VENTA TOTAL NETA	GANANCIA NETA	VENTA RETALIVA NETA	 MARGEN DE GANACIA 
JULIO	CARNE	ANDRA KOURNIKOVA	2	0,095054222	 $5.000 	 $9.000 	5	 $25.000 	 $45.000 	 $20.000 	2,13%	 $4.277 	 $40.723 	 $15.723 	2,01%	0,386089676
JULIO	CARNE	MIGUELO JUANETE	2	0,070946201	 $5.000 	 $9.000 	8	 $40.000 	 $72.000 	 $32.000 	3,40%	 $5.108 	 $66.892 	 $26.892 	3,30%	0,402020038
JULIO	CARNE	ANDRA KOURNIKOVA	2	0,05260633	 $5.000 	 $9.000 	4	 $20.000 	 $36.000 	 $16.000 	1,70%	 $1.894 	 $34.106 	 $14.106 	1,69%	0,413595876
JULIO	CARNE	ALEJANDRO ORTIZ	2	0,057859145	 $5.000 	 $9.000 	10	 $50.000 	 $90.000 	 $40.000 	4,25%	 $5.207 	 $84.793 	 $34.793 	4,19%	0,410326436
JULIO	CARNE	ANDRA KOURNIKOVA	2	0,023288396	 $5.000 	 $9.000 	5	 $25.000 	 $45.000 	 $20.000 	2,13%	 $1.048 	 $43.952 	 $18.952 	2,17%	0,431197957
JULIO	CARNE	ALBERTO MALAGANA	2	0,070125883	 $5.000 	 $9.000 	4	 $20.000 	 $36.000 	 $16.000 	1,70%	 $2.525 	 $33.475 	 $13.475 	1,65%	0,402547565
JULIO	CARNE	PEDRO PICAPIEDRA	2	0,003739891	 $5.000 	 $9.000 	2	 $10.000 	 $18.000 	 $8.000 	0,85%	 $67 	 $17.933 	 $7.933 	0,89%	0,442358928
JULIO	CARNE	PEDRO PICAPIEDRA	2	0,023118516	 $5.000 	 $9.000 	7	 $35.000 	 $63.000 	 $28.000 	2,98%	 $1.456 	 $61.544 	 $26.544 	3,04%	0,431296872
JULIO	CARNE	PEDRO PICAPIEDRA	2	0,041232537	 $5.000 	 $9.000 	7	 $35.000 	 $63.000 	 $28.000 	2,98%	 $2.598 	 $60.402 	 $25.402 	2,98%	0,420552348
JULIO	CARNE	PEDRO PICAPIEDRA	2	0,071242797	 $5.000 	 $9.000 	2	 $10.000 	 $18.000 	 $8.000 	0,85%	 $1.282 	 $16.718 	 $6.718 	0,83%	0,401829075
JULIO	CARNE	PEDRO PICAPIEDRA	2	0,00897807	 $5.000 	 $9.000 	3	 $15.000 	 $27.000 	 $12.000 	1,28%	 $242 	 $26.758 	 $11.758 	1,32%	0,439411441
JUNIO	CARNE	ALEJANDRO ORTIZ	2	0,08498816	 $5.000 	 $9.000 	2	 $10.000 	 $18.000 	 $8.000 	0,85%	 $1.530 	 $16.470 	 $6.470 	0,81%	0,392843315
JUNIO	CARNE	ALEJANDRO ORTIZ	2	0,040539198	 $5.000 	 $9.000 	1	 $5.000 	 $9.000 	 $4.000 	0,43%	 $365 	 $8.635 	 $3.635 	0,43%	0,420971076
JUNIO	CARNE	ALEJANDRO ORTIZ	2	0,00867333	 $5.000 	 $9.000 	10	 $50.000 	 $90.000 	 $40.000 	4,25%	 $781 	 $89.219 	 $39.219 	4,41%	0,43958377
JUNIO	CARNE	PEDRO PICAPIEDRA	2	0,084212472	 $5.000 	 $9.000 	5	 $25.000 	 $45.000 	 $20.000 	2,13%	 $3.790 	 $41.210 	 $16.210 	2,04%	0,393357587
JUNIO	CARNE	PEDRO PICAPIEDRA	2	0,029812374	 $5.000 	 $9.000 	7	 $35.000 	 $63.000 	 $28.000 	2,98%	 $1.878 	 $61.122 	 $26.122 	3,02%	0,427373077
OCTUBRE	CARNE	PEDRO PICAPIEDRA	2	0,098855766	 $5.000 	 $9.000 	3	 $15.000 	 $27.000 	 $12.000 	1,28%	 $2.669 	 $24.331 	 $9.331 	1,20%	0,38349985
OCTUBRE	CARNE	PEDRO PICAPIEDRA	2	0,014146516	 $5.000 	 $9.000 	5	 $25.000 	 $45.000 	 $20.000 	2,13%	 $637 	 $44.363 	 $19.363 	2,19%	0,436472493
OCTUBRE	CARNE	PEDRO PICAPIEDRA	2	0,07244704	 $5.000 	 $9.000 	8	 $40.000 	 $72.000 	 $32.000 	3,40%	 $5.216 	 $66.784 	 $26.784 	3,30%	0,401052469
OCTUBRE	CARNE	PEDRO PICAPIEDRA	2	0,069250994	 $5.000 	 $9.000 	9	 $45.000 	 $81.000 	 $36.000 	3,83%	 $5.609 	 $75.391 	 $30.391 	3,72%	0,40310916
OCTUBRE	CARNE	PEDRO PICAPIEDRA	2	0,023725122	 $5.000 	 $9.000 	10	 $50.000 	 $90.000 	 $40.000 	4,25%	 $2.135 	 $87.865 	 $37.865 	4,34%	0,43094351
SEPTIEMBRE	CARNE	ALEJANDRO ORTIZ	2	0,018251994	 $5.000 	 $9.000 	10	 $50.000 	 $90.000 	 $40.000 	4,25%	 $1.643 	 $88.357 	 $38.357 	4,37%	0,434115932
SEPTIEMBRE	CARNE	ALEJANDRO ORTIZ	2	0,067579441	 $5.000 	 $9.000 	9	 $45.000 	 $81.000 	 $36.000 	3,83%	 $5.474 	 $75.526 	 $30.526 	3,73%	0,404179208
SEPTIEMBRE	CARNE	ALEJANDRO ORTIZ	2	0,001061802	 $5.000 	 $9.000 	4	 $20.000 	 $36.000 	 $16.000 	1,70%	 $38 	 $35.962 	 $15.962 	1,78%	0,443853927
SEPTIEMBRE	CARNE	MIGUELO JUANETE	2	0,004416953	 $5.000 	 $9.000 	8	 $40.000 	 $72.000 	 $32.000 	3,40%	 $318 	 $71.682 	 $31.682 	3,54%	0,441979695
SEPTIEMBRE	CARNE	ALBERTO MALAGANA	2	0,021830384	 $5.000 	 $9.000 	10	 $50.000 	 $90.000 	 $40.000 	4,25%	 $1.965 	 $88.035 	 $38.035 	4,35%	0,432045786
SEPTIEMBRE	CARNE	ALBERTO MALAGANA	2	0,016686307	 $5.000 	 $9.000 	1	 $5.000 	 $9.000 	 $4.000 	0,43%	 $150 	 $8.850 	 $3.850 	0,44%	0,435016964
AGOSTO	VERDURAS	ALBERTO MALAGANA	3	0,037289228	 $500 	 $900 	4	 $2.000 	 $3.600 	 $1.600 	0,17%	 $134 	 $3.466 	 $1.466 	0,17%	0,422925793
AGOSTO	VERDURAS	ALBERTO MALAGANA	3	0,011735731	 $500 	 $900 	4	 $2.000 	 $3.600 	 $1.600 	0,17%	 $42 	 $3.558 	 $1.558 	0,18%	0,43784717
AGOSTO	VERDURAS	ALBERTO MALAGANA	3	0,095088879	 $500 	 $900 	10	 $5.000 	 $9.000 	 $4.000 	0,43%	 $856 	 $8.144 	 $3.144 	0,40%	0,386066164
AGOSTO	VERDURAS	ALBERTO MALAGANA	3	0,001040387	 $500 	 $900 	5	 $2.500 	 $4.500 	 $2.000 	0,21%	 $5 	 $4.495 	 $1.995 	0,22%	0,44386585
AGOSTO	VERDURAS	ALEJANDRO ORTIZ	3	0,009020237	 $500 	 $900 	10	 $5.000 	 $9.000 	 $4.000 	0,43%	 $81 	 $8.919 	 $3.919 	0,44%	0,439387588
AGOSTO	VERDURAS	ALEJANDRO ORTIZ	3	0,070423204	 $500 	 $900 	3	 $1.500 	 $2.700 	 $1.200 	0,13%	 $190 	 $2.510 	 $1.010 	0,12%	0,402356472
AGOSTO	VERDURAS	ALEJANDRO ORTIZ	3	0,053583769	 $500 	 $900 	7	 $3.500 	 $6.300 	 $2.800 	0,30%	 $338 	 $5.962 	 $2.462 	0,29%	0,41299025
AGOSTO	VERDURAS	ALEJANDRO ORTIZ	3	0,097445662	 $500 	 $900 	9	 $4.500 	 $8.100 	 $3.600 	0,38%	 $789 	 $7.311 	 $2.811 	0,36%	0,384463038
JULIO	VERDURAS	ALBERTO MALAGANA	3	0,046149982	 $500 	 $900 	8	 $4.000 	 $7.200 	 $3.200 	0,34%	 $332 	 $6.868 	 $2.868 	0,34%	0,417565083
JULIO	VERDURAS	ALBERTO MALAGANA	3	0,05620149	 $500 	 $900 	11	 $5.500 	 $9.900 	 $4.400 	0,47%	 $556 	 $9.344 	 $3.844 	0,46%	0,411362118
JULIO	VERDURAS	ALBERTO MALAGANA	3	0,057103747	 $500 	 $900 	8	 $4.000 	 $7.200 	 $3.200 	0,34%	 $411 	 $6.789 	 $2.789 	0,34%	0,410798851
JUNIO	VERDURAS	PEDRO PICAPIEDRA	3	0,041017635	 $500 	 $900 	11	 $5.500 	 $9.900 	 $4.400 	0,47%	 $406 	 $9.494 	 $3.994 	0,47%	0,420682199
JUNIO	VERDURAS	PEDRO PICAPIEDRA	3	0,004620704	 $500 	 $900 	10	 $5.000 	 $9.000 	 $4.000 	0,43%	 $42 	 $8.958 	 $3.958 	0,44%	0,44186547
JUNIO	VERDURAS	PEDRO PICAPIEDRA	3	0,025207133	 $500 	 $900 	10	 $5.000 	 $9.000 	 $4.000 	0,43%	 $227 	 $8.773 	 $3.773 	0,43%	0,430078354
JUNIO	VERDURAS	PEDRO PICAPIEDRA	3	0,002536421	 $500 	 $900 	10	 $5.000 	 $9.000 	 $4.000 	0,43%	 $23 	 $8.977 	 $3.977 	0,44%	0,443031738
JUNIO	VERDURAS	PEDRO PICAPIEDRA	3	0,002999961	 $500 	 $900 	6	 $3.000 	 $5.400 	 $2.400 	0,26%	 $16 	 $5.384 	 $2.384 	0,27%	0,442772784
JUNIO	VERDURAS	PEDRO PICAPIEDRA	3	0,099323874	 $500 	 $900 	10	 $5.000 	 $9.000 	 $4.000 	0,43%	 $894 	 $8.106 	 $3.106 	0,40%	0,383179436
JUNIO	VERDURAS	PEDRO PICAPIEDRA	3	0,074022832	 $500 	 $900 	2	 $1.000 	 $1.800 	 $800 	0,09%	 $133 	 $1.667 	 $667 	0,08%	0,400033203
MAYO	VERDURAS	ANDRA KOURNIKOVA	3	0,001944015	 $500 	 $900 	5	 $2.500 	 $4.500 	 $2.000 	0,21%	 $9 	 $4.491 	 $1.991 	0,22%	0,443362333
MAYO	VERDURAS	ANDRA KOURNIKOVA	3	0,000933208	 $500 	 $900 	5	 $2.500 	 $4.500 	 $2.000 	0,21%	 $4 	 $4.496 	 $1.996 	0,22%	0,443925512
MAYO	VERDURAS	ANDRA KOURNIKOVA	3	0,004390603	 $500 	 $900 	3	 $1.500 	 $2.700 	 $1.200 	0,13%	 $12 	 $2.688 	 $1.188 	0,13%	0,441994464
MAYO	VERDURAS	ANDRA KOURNIKOVA	3	0,055139277	 $500 	 $900 	11	 $5.500 	 $9.900 	 $4.400 	0,47%	 $546 	 $9.354 	 $3.854 	0,46%	0,412023865
MAYO	VERDURAS	ANDRA KOURNIKOVA	3	0,028128797	 $500 	 $900 	5	 $2.500 	 $4.500 	 $2.000 	0,21%	 $127 	 $4.373 	 $1.873 	0,22%	0,428365041
MAYO	VERDURAS	ANDRA KOURNIKOVA	3	0,009272112	 $500 	 $900 	6	 $3.000 	 $5.400 	 $2.400 	0,26%	 $50 	 $5.350 	 $2.350 	0,26%	0,439245062
MAYO	VERDURAS	ANDRA KOURNIKOVA	3	0,063273357	 $500 	 $900 	2	 $1.000 	 $1.800 	 $800 	0,09%	 $114 	 $1.686 	 $686 	0,08%	0,406918166
MAYO	VERDURAS	ANDRA KOURNIKOVA	3	0,069582631	 $500 	 $900 	3	 $1.500 	 $2.700 	 $1.200 	0,13%	 $188 	 $2.512 	 $1.012 	0,12%	0,402896405
MAYO	VERDURAS	ANDRA KOURNIKOVA	3	0,098799168	 $500 	 $900 	4	 $2.000 	 $3.600 	 $1.600 	0,17%	 $356 	 $3.244 	 $1.244 	0,16%	0,383538568
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,003995803	 $500 	 $900 	8	 $4.000 	 $7.200 	 $3.200 	0,34%	 $29 	 $7.171 	 $3.171 	0,35%	0,442215648
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,042630985	 $500 	 $900 	2	 $1.000 	 $1.800 	 $800 	0,09%	 $77 	 $1.723 	 $723 	0,09%	0,419705937
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,039007459	 $500 	 $900 	1	 $500 	 $900 	 $400 	0,04%	 $35 	 $865 	 $365 	0,04%	0,421893998
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,057082192	 $500 	 $900 	9	 $4.500 	 $8.100 	 $3.600 	0,38%	 $462 	 $7.638 	 $3.138 	0,38%	0,41081232
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,024266687	 $500 	 $900 	11	 $5.500 	 $9.900 	 $4.400 	0,47%	 $240 	 $9.660 	 $4.160 	0,48%	0,430627664
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,0378322	 $500 	 $900 	6	 $3.000 	 $5.400 	 $2.400 	0,26%	 $204 	 $5.196 	 $2.196 	0,26%	0,422600137
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,069288617	 $500 	 $900 	3	 $1.500 	 $2.700 	 $1.200 	0,13%	 $187 	 $2.513 	 $1.013 	0,12%	0,403085032
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,00338704	 $500 	 $900 	10	 $5.000 	 $9.000 	 $4.000 	0,43%	 $30 	 $8.970 	 $3.970 	0,44%	0,442556361
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,086080562	 $500 	 $900 	11	 $5.500 	 $9.900 	 $4.400 	0,47%	 $852 	 $9.048 	 $3.548 	0,45%	0,392117585
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,019119226	 $500 	 $900 	2	 $1.000 	 $1.800 	 $800 	0,09%	 $34 	 $1.766 	 $766 	0,09%	0,433615613
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,048152459	 $500 	 $900 	9	 $4.500 	 $8.100 	 $3.600 	0,38%	 $390 	 $7.710 	 $3.210 	0,38%	0,416339769
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,029249334	 $500 	 $900 	3	 $1.500 	 $2.700 	 $1.200 	0,13%	 $79 	 $2.621 	 $1.121 	0,13%	0,427705203
OCTUBRE	VERDURAS	PEDRO PICAPIEDRA	3	0,083811997	 $500 	 $900 	2	 $1.000 	 $1.800 	 $800 	0,09%	 $151 	 $1.649 	 $649 	0,08%	0,393622757
SEPTIEMBRE	VERDURAS	MIGUELO JUANETE	3	0,088896184	 $500 	 $900 	10	 $5.000 	 $9.000 	 $4.000 	0,43%	 $800 	 $8.200 	 $3.200 	0,41%	0,39023902
SEPTIEMBRE	VERDURAS	MIGUELO JUANETE	3	0,093464724	 $500 	 $900 	9	 $4.500 	 $8.100 	 $3.600 	0,38%	 $757 	 $7.343 	 $2.843 	0,36%	0,387166092
SEPTIEMBRE	VERDURAS	MIGUELO JUANETE	3	0,027626342	 $500 	 $900 	9	 $4.500 	 $8.100 	 $3.600 	0,38%	 $224 	 $7.876 	 $3.376 	0,39%	0,428660422
SEPTIEMBRE	VERDURAS	ALBERTO MALAGANA	3	0,045629957	 $500 	 $900 	9	 $4.500 	 $8.100 	 $3.600 	0,38%	 $370 	 $7.730 	 $3.230 	0,38%	0,417882445
SEPTIEMBRE	VERDURAS	ALBERTO MALAGANA	3	0,014166664	 $500 	 $900 	7	 $3.500 	 $6.300 	 $2.800 	0,30%	 $89 	 $6.211 	 $2.711 	0,31%	0,436460976
SEPTIEMBRE	VERDURAS	ALBERTO MALAGANA	3	0,094660847	 $500 	 $900 	3	 $1.500 	 $2.700 	 $1.200 	0,13%	 $256 	 $2.444 	 $944 	0,12%	0,386356424
